 TOTAL,AMOUNT,DATE,DATE OF EVENT,DESCRIPTION,DISCOUNT,DONATION,ESTIMATE TOTAL,ESTIMATED HOURS,ESTIMATED TOTAL,HOURS,HOURS/UNITS,OCCURANCE,SUBTOTAL,TOTAL,rate,sheet
0.0,,,2014-11-19,OMI Gallery,,,,,,,,,,,Part Time Member Weekday Rate,2174 CARE Strategies
0.0,,,2014-11-19,Meridian Room,,,,,,,,,,,Part Time Member Weekday Rate,2174 CARE Strategies
162.5,65,,2014-11-19,Uptown,,,,,,2.5,,,162.5,,Part Time Member Weekday Rate,2174 CARE Strategies
0.0,,,2014-11-19,Downtown,,,,,,,,,,,Part Time Member Weekday Rate,2174 CARE Strategies
0.0,,,2014-11-19,East Oakland,,,,,,,,,,,Part Time Member Weekday Rate,2174 CARE Strategies
0.0,,,2014-11-19,West Oakland,,,,,,,,,,,Part Time Member Weekday Rate,2174 CARE Strategies
30.0,30,,2014-11-19,Set Up & Break Down,,,,,,1,,,30,,Part Time Member Weekday Rate,2174 CARE Strategies
0.0,,,2014-11-19,A/V Technician,,,,,,,,,,,Part Time Member Weekday Rate,2174 CARE Strategies
0.0,,,2014-11-19,,,,,,,,,,,,Part Time Member Weekday Rate,2174 CARE Strategies
192.5,,,2014-11-19,Total,,,,,,,,,192.5,,Part Time Member Weekday Rate,2174 CARE Strategies
,180,,2014-09-25,On Broadway,,,,,,2,,,360,360,Full Time Member Weekday Rate,2114 Michael Orange_Jazz
,,,2014-09-25,Atrium,,,,,,,,,0,0,Full Time Member Weekday Rate,2114 Michael Orange_Jazz
,,,2014-09-25,Jingletown Lounge,,,,,,,,,0,0,Full Time Member Weekday Rate,2114 Michael Orange_Jazz
,,,2014-09-25,OMI Gallery,,,,,,,,,0,0,Full Time Member Weekday Rate,2114 Michael Orange_Jazz
,,,2014-09-25,The Courtyard,,,,,,,,,0,0,Full Time Member Weekday Rate,2114 Michael Orange_Jazz
,,,2014-09-25,Uptown,,,,,,,,,0,0,Full Time Member Weekday Rate,2114 Michael Orange_Jazz
,,,2014-09-25,Downtown,,,,,,,,,0,0,Full Time Member Weekday Rate,2114 Michael Orange_Jazz
,,,2014-09-25,East Oakland,,,,,,,,,0,0,Full Time Member Weekday Rate,2114 Michael Orange_Jazz
,,,2014-09-25,West Oakland,,,,,,,,,0,0,Full Time Member Weekday Rate,2114 Michael Orange_Jazz
,50,,2014-09-25,Set Up & Break Down,,,,,,2.5,,,125,125,Full Time Member Weekday Rate,2114 Michael Orange_Jazz
,250,,2014-09-25,Large Party Janitorial Fee,,,,,,Flat Fee,,,250,250,Full Time Member Weekday Rate,2114 Michael Orange_Jazz
,40,,2014-09-25,A/V Technician,,,,,,3,,,120,120,Full Time Member Weekday Rate,2114 Michael Orange_Jazz
,,,2014-09-25,Coffee Service ($10/thermos),,,,,,,,,0,0,Full Time Member Weekday Rate,2114 Michael Orange_Jazz
,,,2014-09-25,,,,,,,,,,,0,Full Time Member Weekday Rate,2114 Michael Orange_Jazz
,,,2014-09-25,Total,,,,,,,,,855,855,Full Time Member Weekday Rate,2114 Michael Orange_Jazz
,,2014-07-26,,On Broadway,,,,,,,,,,0,,2106 KQED_pechakucha
,,2014-07-26,,Atrium,,,,,,,,,,0,,2106 KQED_pechakucha
,,2014-07-26,,Omi Gallery,,,,,,,,,,0,,2106 KQED_pechakucha
,,2014-07-26,,Jingletown Lounge (Mezzanine),,,,,,,,,,0,,2106 KQED_pechakucha
,,2014-07-26,,Green Room,,,,,,,,,,,,2106 KQED_pechakucha
,,2014-07-26,,Set Up & Break Down,,,,,,,,,,0,,2106 KQED_pechakucha
,,2014-07-26,,Large Party Cleaning Fee,,,,,,,,,,0,,2106 KQED_pechakucha
