 TOTAL,AMOUNT,DATE,DATE OF EVENT,DESCRIPTION,DISCOUNT,DONATION,ESTIMATE TOTAL,ESTIMATED HOURS,ESTIMATED TOTAL,HOURS,HOURS/UNITS,OCCURANCE,SUBTOTAL,TOTAL,rate,sheet
,,,2015-04-15,Jingletown Lounge,,,,,,,,,,0,Part Time Member Weekday Rate,415013 Beneficial State FDN
,,,2015-04-15,OMI Gallery,,,,,,,,,,0,Part Time Member Weekday Rate,415013 Beneficial State FDN
,,,2015-04-15,Meridian Room,,,,,,,,,,0,Part Time Member Weekday Rate,415013 Beneficial State FDN
,,,2015-04-15,Uptown,,,,,,,,,,0,Part Time Member Weekday Rate,415013 Beneficial State FDN
,45,,2015-04-15,Downtown,,,,,,4,,,180,180,Part Time Member Weekday Rate,415013 Beneficial State FDN
,,,2015-04-15,East Oakland,,,,,,,,,,0,Part Time Member Weekday Rate,415013 Beneficial State FDN
,,,2015-04-15,West Oakland,,,,,,,,,,0,Part Time Member Weekday Rate,415013 Beneficial State FDN
,,,2015-04-15,Set Up & Break Down,,,,,,,,,,0,Part Time Member Weekday Rate,415013 Beneficial State FDN
,,,2015-04-15,IHO Staffing,,,,,,,,,,0,Part Time Member Weekday Rate,415013 Beneficial State FDN
,,,2015-04-15,Standard Janitorial/Waste Removal Fee,,,,,,,,,,0,Part Time Member Weekday Rate,415013 Beneficial State FDN
,,,2015-04-15,A/V Sound Technician,,,,,,,,,,0,Part Time Member Weekday Rate,415013 Beneficial State FDN
,,,2015-04-15,Coffee Service,,,,,,,,,,0,Part Time Member Weekday Rate,415013 Beneficial State FDN
,,,2015-04-15,Compostables,,,,,,,,,,,Part Time Member Weekday Rate,415013 Beneficial State FDN
,,,2015-04-15,Security,,,,,,,,,,,Part Time Member Weekday Rate,415013 Beneficial State FDN
,,,2015-04-15,,,,,,,,,,,0,Part Time Member Weekday Rate,415013 Beneficial State FDN
,,,2015-04-15,Total,,,,,,,,,180,180,Part Time Member Weekday Rate,415013 Beneficial State FDN
,50,?,,On Broadway Room Rental,,,,,,Flat Fee,,,,50,,2133 Unwork Cancel Fee
,,?,,Total,,,,,,,,,,50,,2133 Unwork Cancel Fee
,,,2014-12-04,On Broadway,,,,,,,,,0,0,Full Time Member Weekday Rate,2166 SustainAbility RoundTable
,,,2014-12-04,Atrium,,,,,,,,,0,0,Full Time Member Weekday Rate,2166 SustainAbility RoundTable
,,,2014-12-04,Jingletown Lounge,,,,,,,,,0,0,Full Time Member Weekday Rate,2166 SustainAbility RoundTable
,60,,2014-12-04,OMI Gallery,,,,,,2,,,120,120,Full Time Member Weekday Rate,2166 SustainAbility RoundTable
,,,2014-12-04,Meridian Room,,,,,,,,,0,0,Full Time Member Weekday Rate,2166 SustainAbility RoundTable
,,,2014-12-04,Uptown,,,,,,,,,0,0,Full Time Member Weekday Rate,2166 SustainAbility RoundTable
,,,2014-12-04,Downtown,,,,,,,,,0,0,Full Time Member Weekday Rate,2166 SustainAbility RoundTable
,,,2014-12-04,East Oakland,,,,,,,,,0,0,Full Time Member Weekday Rate,2166 SustainAbility RoundTable
,,,2014-12-04,West Oakland,,,,,,,,,0,0,Full Time Member Weekday Rate,2166 SustainAbility RoundTable
,30,,2014-12-04,Set Up & Break Down,,,,,,1.5,,,45,45,Full Time Member Weekday Rate,2166 SustainAbility RoundTable
,100,,2014-12-04,Small Event Janitorial Fee,,,,,,Flat Fee,,,100,100,Full Time Member Weekday Rate,2166 SustainAbility RoundTable
,40,,2014-12-04,A/V Technician,,,,,,,,,0,0,Full Time Member Weekday Rate,2166 SustainAbility RoundTable
,,,2014-12-04,Coffee Service ($10/thermos),,,,,,,,,0,0,Full Time Member Weekday Rate,2166 SustainAbility RoundTable
,,,2014-12-04,,,,,,,,,,,0,Full Time Member Weekday Rate,2166 SustainAbility RoundTable
,,,2014-12-04,Total,,,,,,,,,265,265,Full Time Member Weekday Rate,2166 SustainAbility RoundTable
,,,2015-02-06,On Broadway,,,,,,,,,,0,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,225,,2015-02-06,Atrium,1,,,,,,1.5,,337.5,0,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,,,2015-02-06,Jingletown Lounge,,,,,,,,,,0,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,,,2015-02-06,OMI Gallery,,,,,,,,,,0,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,,,2015-02-06,Meridian Room,,,,,,,,,,0,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,,,2015-02-06,Uptown,,,,,,,,,,0,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,,,2015-02-06,Downtown,,,,,,,,,,0,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,,,2015-02-06,East Oakland,,,,,,,,,,0,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,,,2015-02-06,West Oakland,,,,,,,,,,0,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,50,,2015-02-06,Set Up & Break Down,,,,,,,2,,100,100,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,70,,2015-02-06,Janitorial Fee,,,,,,,Flat Fee,,70,70,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,85,,2015-02-06,Waste Removal Fee ,,,,,,,Flat Fee,,85,85,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,40,,2015-02-06,Staffing,,,,,,,3.5,,140,140,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,,,2015-02-06,Coffee Service ,,,,,,,,,,0,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,,,2015-02-06,Security,,,,,,,,,,0,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,,,2015-02-06,,,,,,,,,,,0,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,,,2015-02-06,Total,,,,,,,,,732.5,395,Non Member Weekend Rate --Partner Discount,2196-2 Tuux.it
,315,,2014-02-13,On Broadway,0.5,,,,,,4,,1260,630,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,,,2014-02-13,Atrium,,,,,,,,,0,0,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,,,2014-02-13,Jingletown Lounge,,,,,,,,,0,0,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,,,2014-02-13,OMI Gallery,,,,,,,,,0,0,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,,,2014-02-13,Meridian Room,,,,,,,,,0,0,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,,,2014-02-13,Uptown,,,,,,,,,0,0,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,,,2014-02-13,Downtown,,,,,,,,,0,0,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,,,2014-02-13,East Oakland,,,,,,,,,0,0,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,,,2014-02-13,West Oakland,,,,,,,,,0,0,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,75,,2014-02-13,Set Up & Break Down,,,,,,,2.5,,187.5,187.5,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,40,,2014-02-13,IHO Staffing,,,,,,,5.5,,220,220,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,300,,2014-02-13,Standard Janitorial Fee,,,,,,,Flat Fee,,300,300,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,40,,2014-02-13,A/V Technician,,,,,,,6,,240,240,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,,,2014-02-13,Coffee Service ,,,,,,,,,0,0,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,,,2014-02-13,Security,,,,,,,,,0,0,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,,,2014-02-13,,,,,,,,,,,0,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,,,2014-02-13,Total,,,,,,,,,2207.5,1577.5,Non Member Weekend Rate -- Partnership Discount,115004 KQED
,315,,2015-03-21,On Broadway,0.4,,,,,,3,,945,567,Non Member Weekend Rate - Partnership Discount,215014-2 OneLife IHO Collab
,,,2015-03-21,Atrium,,,,,,,,,,0,Non Member Weekend Rate - Partnership Discount,215014-2 OneLife IHO Collab
,,,2015-03-21,Jingletown Lounge,,,,,,,,,,0,Non Member Weekend Rate - Partnership Discount,215014-2 OneLife IHO Collab
,,,2015-03-21,OMI Gallery,,,,,,,,,,0,Non Member Weekend Rate - Partnership Discount,215014-2 OneLife IHO Collab
,,,2015-03-21,Meridian Room,,,,,,,,,,0,Non Member Weekend Rate - Partnership Discount,215014-2 OneLife IHO Collab
,,,2015-03-21,Uptown,,,,,,,,,,0,Non Member Weekend Rate - Partnership Discount,215014-2 OneLife IHO Collab
,,,2015-03-21,Downtown,,,,,,,,,,0,Non Member Weekend Rate - Partnership Discount,215014-2 OneLife IHO Collab
,,,2015-03-21,East Oakland,,,,,,,,,,0,Non Member Weekend Rate - Partnership Discount,215014-2 OneLife IHO Collab
,,,2015-03-21,West Oakland,,,,,,,,,,0,Non Member Weekend Rate - Partnership Discount,215014-2 OneLife IHO Collab
,100,,2015-03-21,Set Up & Reset,,,,,,,2,,200,200,Non Member Weekend Rate - Partnership Discount,215014-2 OneLife IHO Collab
,40,,2015-03-21,IHO Staffing,,,,,,,5,,200,200,Non Member Weekend Rate - Partnership Discount,215014-2 OneLife IHO Collab
,150,,2015-03-21,Standard Janitorial Fee/Waste Removal,,,,,,,Flat Fee,,150,150,Non Member Weekend Rate - Partnership Discount,215014-2 OneLife IHO Collab
,,,2015-03-21,A/V Technician,,,,,,,,,,0,Non Member Weekend Rate - Partnership Discount,215014-2 OneLife IHO Collab
,,,2015-03-21,Apply Deposit from 1/22/15 Canceled Event,,,,,,,,,,-537.5,Non Member Weekend Rate - Partnership Discount,215014-2 OneLife IHO Collab
,,,2015-03-21,Total,,,,,,,,,1495,579.5,Non Member Weekend Rate - Partnership Discount,215014-2 OneLife IHO Collab
,225,,2014-09-23,On Broadway,,,,,,3,,,675,675,Part-time Member Rate,2118 HiddenGenius
,,,2014-09-23,Atrium,,,,,,,,,0,0,Part-time Member Rate,2118 HiddenGenius
,,,2014-09-23,Jingletown Lounge,,,,,,,,,0,0,Part-time Member Rate,2118 HiddenGenius
,,,2014-09-23,OMI Gallery,,,,,,,,,0,0,Part-time Member Rate,2118 HiddenGenius
,,,2014-09-23,Meridian Room,,,,,,,,,0,0,Part-time Member Rate,2118 HiddenGenius
,,,2014-09-23,Uptown,,,,,,,,,0,0,Part-time Member Rate,2118 HiddenGenius
,,,2014-09-23,Downtown,,,,,,,,,0,0,Part-time Member Rate,2118 HiddenGenius
,,,2014-09-23,East Oakland,,,,,,,,,0,0,Part-time Member Rate,2118 HiddenGenius
,,,2014-09-23,West Oakland,,,,,,,,,0,0,Part-time Member Rate,2118 HiddenGenius
,75,,2014-09-23,Early Set Up Fee,,,,,,Flat Fee,,,,0,Part-time Member Rate,2118 HiddenGenius
,50,,2014-09-23,Set Up & Break Down,,,,,,2,,,100,100,Part-time Member Rate,2118 HiddenGenius
,500,,2014-09-23,Large Party Janitorial Fee,,,,,,Flat Fee,,,,0,Part-time Member Rate,2118 HiddenGenius
,250,,2014-09-23,Standard Janitorial Fee,,,,,,Flat Fee,,,250,250,Part-time Member Rate,2118 HiddenGenius
,40,,2014-09-23,A/V Technician,,,,,,,,,0,0,Part-time Member Rate,2118 HiddenGenius
,,,2014-09-23,Coffee Service ($10/thermos),,,,,,,,,0,0,Part-time Member Rate,2118 HiddenGenius
,,,2014-09-23,,,,,,,,,,,0,Part-time Member Rate,2118 HiddenGenius
,,,2014-09-23,Total,,,,,,,,,,1025,Part-time Member Rate,2118 HiddenGenius
,45,,"Nov. 1 - Nov. 2, 2014",Meridian Room,0.2,,,,,11,,,495,396,Full Time Member Weekday Rate -- Multi-Day Discount,2140 Feng Shui School_Nov
,45,,"Nov. 21 - Nov. 23, 2014",Meridian Room,0.2,,,,,14,,,630,504,Full Time Member Weekday Rate -- Multi-Day Discount,2140 Feng Shui School_Nov
,,,"Nov. 21 - Nov. 23, 2014",,,,,,,,,,,0,Full Time Member Weekday Rate -- Multi-Day Discount,2140 Feng Shui School_Nov
,,,"Nov. 21 - Nov. 23, 2014",Total,,,,,,,,,1125,900,Full Time Member Weekday Rate -- Multi-Day Discount,2140 Feng Shui School_Nov
,,,2015-05-30,On Broadway,,,,,,,,,,0,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,,,2015-05-30,Atrium,,,,,,,,,,0,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,,,2015-05-30,Jingletown Lounge,,,,,,,,,,0,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,115,,2015-05-30,OMI Gallery,,,,,,2.5,,,115,115,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,,,2015-05-30,Meridian Room,,,,,,,,,,0,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,,,2015-05-30,Uptown,,,,,,,,,,0,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,,,2015-05-30,Downtown,,,,,,,,,,0,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,,,2015-05-30,East Oakland,,,,,,,,,,0,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,,,2015-05-30,West Oakland,,,,,,,,,,0,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,75,,2015-05-30,Set Up & Break Down,,,,,,2.5,,,187.5,187.5,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,40,,2015-05-30,Site Manager,,,,,,5,,,200,200,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,300,,2015-05-30,Standard Janitorial Fee,,,,,,Flat Fee,,,300,300,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,,,2015-05-30,Waste Removal Fee ,,,,,,,,,,0,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,,,2015-05-30,A/V Technician,,,,,,,,,,0,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,,,2015-05-30,Coffee Service ,,,,,,,,,,0,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,,,2015-05-30,Security,,,,,,,,,,0,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,,,2015-05-30,,,,,,,,,,,0,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,,,2015-05-30,Total,,,,,,,,,802.5,802.5,Part Time Member Weekend Rate,115013-2 Youth Speaks_Olympics 
,255,2014-05-31,,On Broadway,,,,,,5.5,,,,1402.5,Weekday Rate - part time member discount,2068 OpenOakland
,,2014-05-31,,Atrium,,,,,,,,,,0,Weekday Rate - part time member discount,2068 OpenOakland
,,2014-05-31,,Omi Gallery,,,,,,,,,,0,Weekday Rate - part time member discount,2068 OpenOakland
,,2014-05-31,,Jingletown Lounge (Mezzanine),,,,,,,,,,0,Weekday Rate - part time member discount,2068 OpenOakland
,,2014-05-31,,Green Room,,,,,,,,,,,Weekday Rate - part time member discount,2068 OpenOakland
,50,2014-05-31,,Set Up & Break Down,,,,,,1.5,,,,75,Weekday Rate - part time member discount,2068 OpenOakland
,,2014-05-31,,Large Party Cleaning Fee,,,,,,,,,,0,Weekday Rate - part time member discount,2068 OpenOakland
,250,2014-05-31,,Standard Cleaning Fee,,,,,,Flat Fee,,,,250,Weekday Rate - part time member discount,2068 OpenOakland
,,2014-05-31,,A/V Technician,,,,,,,,,,0,Weekday Rate - part time member discount,2068 OpenOakland
,,2014-05-31,,Coffee Service,,,,,,,,,,0,Weekday Rate - part time member discount,2068 OpenOakland
,,2014-05-31,,Security,,,,,,,,,,0,Weekday Rate - part time member discount,2068 OpenOakland
,,2014-05-31,,Total,,,,,,,,,,1727.5,Weekday Rate - part time member discount,2068 OpenOakland
,225,,2014-12-16,On Broadway,,,,,,3,,,675,675,Part time Member Weekday Rate,2172 Lajones & Associates
,150,,2014-12-16,Atrium,,,,,,3,,,450,450,Part time Member Weekday Rate,2172 Lajones & Associates
,,,2014-12-16,Jingletown Lounge,,,,,,,,,0,0,Part time Member Weekday Rate,2172 Lajones & Associates
,,,2014-12-16,OMI Gallery,,,,,,,,,0,0,Part time Member Weekday Rate,2172 Lajones & Associates
,,,2014-12-16,Meridian Room,,,,,,,,,0,0,Part time Member Weekday Rate,2172 Lajones & Associates
,,,2014-12-16,Uptown,,,,,,,,,0,0,Part time Member Weekday Rate,2172 Lajones & Associates
,,,2014-12-16,Downtown,,,,,,,,,0,0,Part time Member Weekday Rate,2172 Lajones & Associates
,,,2014-12-16,East Oakland,,,,,,,,,0,0,Part time Member Weekday Rate,2172 Lajones & Associates
,,,2014-12-16,West Oakland,,,,,,,,,0,0,Part time Member Weekday Rate,2172 Lajones & Associates
,50,,2014-12-16,Set Up & Break Down,,,,,,2,,,100,100,Part time Member Weekday Rate,2172 Lajones & Associates
,350,,2014-12-16,Large Party Janitorial Fee,,,,,,Flat Fee,,,350,350,Part time Member Weekday Rate,2172 Lajones & Associates
,,,2014-12-16,,,,,,,,,,,0,Part time Member Weekday Rate,2172 Lajones & Associates
,,,2014-12-16,Total,,,,,,,,,1575,1575,Part time Member Weekday Rate,2172 Lajones & Associates
,210,,2015-01-16,On Broadway,0.93,,,,,3.5,,,735,51.45,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,,,2015-01-16,Atrium,,,,,,,,,0,0,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,,,2015-01-16,Jingletown Lounge,,,,,,,,,0,0,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,,,2015-01-16,OMI Gallery,,,,,,,,,0,0,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,,,2015-01-16,Meridian Room,,,,,,,,,0,0,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,,,2015-01-16,Uptown,,,,,,,,,0,0,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,,,2015-01-16,Downtown,,,,,,,,,0,0,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,,,2015-01-16,East Oakland,,,,,,,,,0,0,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,,,2015-01-16,West Oakland,,,,,,,,,0,0,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,75,,2015-01-16,Set Up & Break Down,1,,,,,3,,,225,0,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,250,,2015-01-16,Standard Janitorial Fee,,,,,,Flat Fee,,,250,250,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,30,,2015-01-16,Site Manager/Staffing,1,,,,,6.5,,,195,0,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,,,2015-01-16,A/V Technician,,,,,,,,,,0,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,,,2015-01-16,Coffee Service ($10/thermos),,,,,,,,,,0,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,85,,2015-01-16,Waste Removal,1,,,,,Flat Fee,,,85,0,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,,,2015-01-16,,,,,,,,,,,0,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,,,2015-01-16,Total,,,,,,,,,1490,301.45,Full Time Member Weekend Rate - Partnership Discount,115002 LNA_Storytelling
,275,2014-04-07,,On Broadway,,,,,,4,,,,1100,,2036 Catchafire
,,2014-04-07,,Atrium,,,,,,,,,,0,,2036 Catchafire
,,2014-04-07,,On Broadway,,,,,,,,,,0,,2036 Catchafire
,,2014-04-07,,Entire Mezzanine,,,,,,,,,,0,,2036 Catchafire
,,2014-04-07,,A/V Technician,,,,,,,,,,0,,2036 Catchafire
,,2014-04-07,,Large Party Cleaning Fee,,,,,,,,,,,,2036 Catchafire
,,2014-04-07,,Total,,,,,,,,,,1100,,2036 Catchafire
,400,,2014-12-31,On Broadway,,,,,,4.5,,,1800,1800,Non Member Weekday Rate -- Holiday Rate,2190 Kerusso Music Group
,,,2014-12-31,Atrium,,,,,,,,,0,0,Non Member Weekday Rate -- Holiday Rate,2190 Kerusso Music Group
,,,2014-12-31,Jingletown Lounge,,,,,,,,,0,0,Non Member Weekday Rate -- Holiday Rate,2190 Kerusso Music Group
,,,2014-12-31,OMI Gallery,,,,,,,,,0,0,Non Member Weekday Rate -- Holiday Rate,2190 Kerusso Music Group
,,,2014-12-31,Meridian Room,,,,,,,,,0,0,Non Member Weekday Rate -- Holiday Rate,2190 Kerusso Music Group
,,,2014-12-31,Uptown,,,,,,,,,0,0,Non Member Weekday Rate -- Holiday Rate,2190 Kerusso Music Group
,,,2014-12-31,Downtown,,,,,,,,,0,0,Non Member Weekday Rate -- Holiday Rate,2190 Kerusso Music Group
,,,2014-12-31,East Oakland,,,,,,,,,0,0,Non Member Weekday Rate -- Holiday Rate,2190 Kerusso Music Group
,,,2014-12-31,West Oakland,,,,,,,,,0,0,Non Member Weekday Rate -- Holiday Rate,2190 Kerusso Music Group
,115,,2014-12-31,Set Up & Break Down,,,,,,2,,,230,230,Non Member Weekday Rate -- Holiday Rate,2190 Kerusso Music Group
,500,,2014-12-31,Large Party Janitorial Fee,,,,,,Flat Fee,,,500,500,Non Member Weekday Rate -- Holiday Rate,2190 Kerusso Music Group
,60,,2014-12-31,A/V Technician,,,,,,6.5,,,390,390,Non Member Weekday Rate -- Holiday Rate,2190 Kerusso Music Group
,60,,2014-12-31,Additional Holiday Staffing,,,,,,6.5,,,390,390,Non Member Weekday Rate -- Holiday Rate,2190 Kerusso Music Group
,,,2014-12-31,Total,,,,,,,,,3310,3310,Non Member Weekday Rate -- Holiday Rate,2190 Kerusso Music Group
,,,2014-09-15,New Arts Axis Portion of Venue Rental ,,,,,,,,,,425,Part Time Member Weekday Rate,2119 ImapctSocial_NewArtsAxis
,,,2014-09-15,,,,,,,,,,,0,Part Time Member Weekday Rate,2119 ImapctSocial_NewArtsAxis
,,,2014-09-15,Total,,,,,,,,,0,425,Part Time Member Weekday Rate,2119 ImapctSocial_NewArtsAxis
,295,,2015-02-24,On Broadway,,,,,,,2,,590,590,None Member Weekday Rate,415010 LNArt Old Navy
,,,2015-02-24,Atrium,,,,,,,,,,0,None Member Weekday Rate,415010 LNArt Old Navy
,,,2015-02-24,Jingletown Lounge,,,,,,,,,,0,None Member Weekday Rate,415010 LNArt Old Navy
,,,2015-02-24,OMI Gallery,,,,,,,,,,0,None Member Weekday Rate,415010 LNArt Old Navy
,,,2015-02-24,Meridian Room,,,,,,,,,,0,None Member Weekday Rate,415010 LNArt Old Navy
,,,2015-02-24,Uptown,,,,,,,,,,0,None Member Weekday Rate,415010 LNArt Old Navy
,,,2015-02-24,Downtown,,,,,,,,,,0,None Member Weekday Rate,415010 LNArt Old Navy
,,,2015-02-24,East Oakland,,,,,,,,,,0,None Member Weekday Rate,415010 LNArt Old Navy
,,,2015-02-24,West Oakland,,,,,,,,,,0,None Member Weekday Rate,415010 LNArt Old Navy
,75,,2015-02-24,Set Up & Break Down,,,,,,,3,,225,225,None Member Weekday Rate,415010 LNArt Old Navy
,40,,2015-02-24,IHO Staffing,,,,,,,5,,200,200,None Member Weekday Rate,415010 LNArt Old Navy
,350,,2015-02-24,Standard Janitorial/Waste Removal Fee,,,,,,,Flat Fee,,350,350,None Member Weekday Rate,415010 LNArt Old Navy
,,,2015-02-24,A/V Technician,,,,,,,,,,0,None Member Weekday Rate,415010 LNArt Old Navy
,,,2015-02-24,Coffee Service ,,,,,,,,,,0,None Member Weekday Rate,415010 LNArt Old Navy
,,,2015-02-24,Security,,,,,,,,,,0,None Member Weekday Rate,415010 LNArt Old Navy
,,,2015-02-24,,,,,,,,,,,0,None Member Weekday Rate,415010 LNArt Old Navy
,,,2015-02-24,Total,,,,,,,,,1365,1365,None Member Weekday Rate,415010 LNArt Old Navy
,315,,2015-11-01,On Broadway,,,,,,,3,,945,945,Non Member Weekend Rate,815005 Oak Food Policy Council
,,,2015-11-01,Atrium,,,,,,,,,,0,Non Member Weekend Rate,815005 Oak Food Policy Council
,,,2015-11-01,Jingletown Lounge,,,,,,,,,,0,Non Member Weekend Rate,815005 Oak Food Policy Council
,,,2015-11-01,OMI Gallery,,,,,,,,,,0,Non Member Weekend Rate,815005 Oak Food Policy Council
,,,2015-11-01,Meridian Room,,,,,,,,,,0,Non Member Weekend Rate,815005 Oak Food Policy Council
,,,2015-11-01,Uptown,,,,,,,,,,0,Non Member Weekend Rate,815005 Oak Food Policy Council
,,,2015-11-01,Downtown,,,,,,,,,,0,Non Member Weekend Rate,815005 Oak Food Policy Council
,,,2015-11-01,East Oakland,,,,,,,,,,0,Non Member Weekend Rate,815005 Oak Food Policy Council
,,,2015-11-01,West Oakland,,,,,,,,,,0,Non Member Weekend Rate,815005 Oak Food Policy Council
,75,,2015-11-01,Set Up & Reset,,,,,,,2,,150,150,Non Member Weekend Rate,815005 Oak Food Policy Council
,40,,2015-11-01,IHO Staffing,,,,,,,5,,200,200,Non Member Weekend Rate,815005 Oak Food Policy Council
,250,,2015-11-01,Standard Janitorial/Waste Removal Fee,,,,,,,Flat Fee,,250,250,Non Member Weekend Rate,815005 Oak Food Policy Council
,,,2015-11-01,Additional Services As Needed,,,,,,,,,,,Non Member Weekend Rate,815005 Oak Food Policy Council
,,,2015-11-01,Speciality A/V Sound Technician,,,,,,,,,,0,Non Member Weekend Rate,815005 Oak Food Policy Council
,,,2015-11-01,Coffee Service,,,,,,,,,,0,Non Member Weekend Rate,815005 Oak Food Policy Council
,,,2015-11-01,Compostable Dishware & Silverware,,,,,,,,,,,Non Member Weekend Rate,815005 Oak Food Policy Council
,,,2015-11-01,Security (Outsourced upon request),,,,,,,,,,,Non Member Weekend Rate,815005 Oak Food Policy Council
,,,2015-11-01,Total,,,,,,,,,1545,1545,Non Member Weekend Rate,815005 Oak Food Policy Council
,295,,2015-05-14,On Broadway,1,,,,,,3,,885,0,Non Member Weekday Rate - Partnership Discount,215005 BE PRESENT
,,,2015-05-14,Atrium,,,,,,,,,,0,Non Member Weekday Rate - Partnership Discount,215005 BE PRESENT
,,,2015-05-14,Jingletown Lounge,,,,,,,,,,0,Non Member Weekday Rate - Partnership Discount,215005 BE PRESENT
,120,,2015-05-14,OMI Gallery,0.5,,,,,,3.5,,420,210,Non Member Weekday Rate - Partnership Discount,215005 BE PRESENT
,,,2015-05-14,Meridian Room,,,,,,,,,,0,Non Member Weekday Rate - Partnership Discount,215005 BE PRESENT
,,,2015-05-14,Uptown,,,,,,,,,,0,Non Member Weekday Rate - Partnership Discount,215005 BE PRESENT
,,,2015-05-14,Downtown,,,,,,,,,,0,Non Member Weekday Rate - Partnership Discount,215005 BE PRESENT
,,,2015-05-14,East Oakland,,,,,,,,,,0,Non Member Weekday Rate - Partnership Discount,215005 BE PRESENT
,,,2015-05-14,West Oakland,,,,,,,,,,0,Non Member Weekday Rate - Partnership Discount,215005 BE PRESENT
,75,,2015-05-14,Set Up & Break Down,1,,,,,,2.5,,187.5,0,Non Member Weekday Rate - Partnership Discount,215005 BE PRESENT
,20,,2015-05-14,IHO Staffing,,,,,,,1,,20,20,Non Member Weekday Rate - Partnership Discount,215005 BE PRESENT
,300,,2015-05-14,Standard Janitorial Fee/Waste Removal,,,,,,,Flat Fee,,300,300,Non Member Weekday Rate - Partnership Discount,215005 BE PRESENT
,40,,2015-05-14,A/V Technician,,,,,,,4.5,,180,180,Non Member Weekday Rate - Partnership Discount,215005 BE PRESENT
,,,2015-05-14,,,,,,,,,,,0,Non Member Weekday Rate - Partnership Discount,215005 BE PRESENT
