day_type,day_dur,discount_type,membership_level,ROOM,AMOUNT,EFF_RATE
WEEKEND,PARTIAL_DAY,DISCOUNT,FULL_TIME,DOWNTOWN,,
WEEKEND,PARTIAL_DAY,DISCOUNT,FULL_TIME,UPTOWN,90.00,81.00
WEEKEND,PARTIAL_DAY,DISCOUNT,FULL_TIME,MERIDIAN,,
WEEKEND,PARTIAL_DAY,DISCOUNT,FULL_TIME,OMI,,
WEEKEND,PARTIAL_DAY,DISCOUNT,FULL_TIME,JINGLETOWN,,
WEEKEND,PARTIAL_DAY,DISCOUNT,FULL_TIME,ATRIUM,,
WEEKEND,PARTIAL_DAY,DISCOUNT,FULL_TIME,BROADWAY,,
WEEKEND,PARTIAL_DAY,DISCOUNT,unknown,EAST_OAK,,
WEEKEND,PARTIAL_DAY,DISCOUNT,unknown,WEST_OAK,,
WEEKEND,PARTIAL_DAY,DISCOUNT,unknown,DOWNTOWN,,
WEEKEND,PARTIAL_DAY,DISCOUNT,unknown,UPTOWN,,
WEEKEND,PARTIAL_DAY,DISCOUNT,unknown,MERIDIAN,,
WEEKEND,PARTIAL_DAY,DISCOUNT,unknown,OMI, 0.00, 0.00
WEEKEND,PARTIAL_DAY,DISCOUNT,unknown,JINGLETOWN,,
WEEKEND,PARTIAL_DAY,DISCOUNT,unknown,ATRIUM,55.00,55.00
WEEKEND,PARTIAL_DAY,DISCOUNT,unknown,BROADWAY,140.00,140.00
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,NON_MEMBER,EAST_OAK,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,NON_MEMBER,WEST_OAK,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,NON_MEMBER,DOWNTOWN,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,NON_MEMBER,UPTOWN,115.00,115.00
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,NON_MEMBER,MERIDIAN,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,NON_MEMBER,OMI,145.00,145.00
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,NON_MEMBER,JINGLETOWN,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,NON_MEMBER,ATRIUM,225.00,225.00
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,NON_MEMBER,BROADWAY,315.00,315.00
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,PART_TIME,EAST_OAK,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,PART_TIME,WEST_OAK,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,PART_TIME,DOWNTOWN,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,PART_TIME,UPTOWN,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,PART_TIME,MERIDIAN,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,PART_TIME,OMI,115.00,46.00
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,PART_TIME,JINGLETOWN,,
