invoice,DATE,invoice_date,ROOM,AMOUNT,HOURS_UNITS,SUBTOTAL,DISCOUNT,TOTAL,membership_level,discount_type,day_type,day_dur,EFF_RATE
115001-2,2015-03-21,2015-01-02,BROADWAY,210.00, 3.00,630.00, 0.00,630.00,FULL_TIME,NONE,WEEKEND,FULL_DAY,210.00
115001-3,2015-03-21,2015-03-18,BROADWAY,210.00, 2.50,525.00, 0.00,525.00,FULL_TIME,NONE,WEEKEND,PARTIAL_DAY,210.00
115002,2015-01-16,2014-11-19,BROADWAY,210.00, 3.50,735.00, 0.93,51.45,FULL_TIME,FRIEND,WEEKEND,FULL_DAY,14.70
115003,2014-12-17,2015-01-08,BROADWAY,180.00, 1.40,252.00, 0.00,252.00,FULL_TIME,FRIEND,WEEKDAY,PARTIAL_DAY,180.00
115004,2014-02-13,2015-01-09,BROADWAY,315.00, 4.00,1260.00, 0.50,630.00,NON_MEMBER,FRIEND,WEEKEND,FULL_DAY,157.50
115005,2015-05-07,2015-01-20,BROADWAY,225.00, 2.50,562.50, 0.10,506.25,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,202.50
115005,2015-05-07,2015-01-20,ATRIUM,150.00, 2.50,375.00, 0.10,337.50,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,135.00
115005,2015-05-07,2015-01-20,JINGLETOWN,115.00, 2.50,287.50, 0.10,258.75,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,103.50
115005,2015-05-07,2015-01-20,OMI,85.00, 4.00,340.00, 0.10,306.00,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,76.50
115005,2015-05-07,2015-01-20,DOWNTOWN,45.00, 7.00,315.00, 0.10,283.50,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,40.50
115005-2,2015-05-07,2015-03-03,BROADWAY,225.00, 2.50,562.50, 0.10,506.25,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,202.50
115005-2,2015-05-07,2015-03-03,ATRIUM,150.00, 2.50,375.00, 0.10,337.50,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,135.00
115005-2,2015-05-07,2015-03-03,JINGLETOWN,115.00, 2.50,287.50, 0.10,258.75,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,103.50
115005-2,2015-05-07,2015-03-03,OMI,85.00, 4.00,340.00, 0.10,306.00,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,76.50
115005-2,2015-05-07,2015-03-03,EAST_OAK,25.00, 7.00,175.00, 0.10,157.50,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,22.50
115005-4,2015-05-07,2015-04-27,BROADWAY,225.00, 2.50,562.50, 0.10,506.25,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,202.50
115005-4,2015-05-07,2015-04-27,ATRIUM,150.00, 2.50,375.00, 0.10,337.50,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,135.00
115005-4,2015-05-07,2015-04-27,JINGLETOWN,115.00, 2.50,287.50, 0.10,258.75,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,103.50
115005-4,2015-05-07,2015-04-27,OMI,85.00, 5.00,425.00, 0.10,382.50,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,76.50
115005-4,2015-05-07,2015-04-27,EAST_OAK,25.00, 7.00,175.00, 0.10,157.50,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,22.50
115007,2015-02-04,2015-02-03,BROADWAY,180.00, 2.50,450.00, 0.00,450.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,180.00
115008,2015-01-27,2015-01-20,OMI,60.00, 2.00,120.00, 0.00,120.00,FULL_TIME,FRIEND,WEEKDAY,PARTIAL_DAY,60.00
115009,2015-03-14,2015-01-22,BROADWAY,255.00, 4.00,1020.00, 0.00,1020.00,PART_TIME,NONE,WEEKEND,FULL_DAY,255.00
115009,2015-03-14,2015-01-22,ATRIUM,180.00, 4.00,720.00, 0.00,720.00,PART_TIME,NONE,WEEKEND,FULL_DAY,180.00
115009-2,2015-03-14,2015-03-05,BROADWAY,255.00, 4.50,1147.50, 0.00,1147.50,PART_TIME,NONE,WEEKEND,FULL_DAY,255.00
115009-2,2015-03-14,2015-03-05,ATRIUM,180.00, 4.50,810.00, 0.00,810.00,PART_TIME,NONE,WEEKEND,FULL_DAY,180.00
115009-2,2015-03-14,2015-03-05,EAST_OAK,55.00, 8.00,440.00, 0.25,330.00,PART_TIME,NONE,WEEKEND,FULL_DAY,41.25
115010,2015-05-11,2015-01-26,OMI,60.00, 6.50,390.00, 0.00,390.00,FULL_TIME,NONE,WEEKDAY,FULL_DAY,60.00
115011,2015-01-27,2015-01-26,JINGLETOWN,150.00, 2.00,300.00, 0.00,300.00,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,150.00
115012-2,2015-06-27,2015-06-22,BROADWAY,255.00, 8.00,2040.00, 0.25,1530.00,PART_TIME,MULTI_DAY,WEEKEND,FULL_DAY,191.25
115013,2015-05-30,2015-01-27,BROADWAY,255.00, 2.00,510.00, 0.00,510.00,PART_TIME,NONE,WEEKEND,FULL_DAY,255.00
115013-2,2015-05-30,2015-05-21,OMI,115.00, 2.50,287.50, 0.00,115.00,PART_TIME,NONE,WEEKEND,PARTIAL_DAY,46.00
