invoice,DATE,# rooms,hours
2146 Beyond the Culture_Oct,2014-10-13,1.0,
2146 Beyond the Culture_Oct,2014-10-20,1.0,
2146 Beyond the Culture_Oct,2014-10-27,1.0,
2147 Beyond the Culture_Nov,2014-11-03,1.0,
2147 Beyond the Culture_Nov,2014-11-10,1.0,
2147 Beyond the Culture_Nov,2014-11-17,1.0,
2149 Bike East Bay,2014-11-13,2.0,5.5
2150 Holmes Hummel,2014-10-09,1.0,3.5
215001 CPD Gala,2015-02-05,1.0,4.0
215002 Equitable Origin,2015-02-26,1.0,5.0
215002-2 Equitable Origin,2015-02-26,1.0,5.0
215004 Design Thinking,2015-02-12,1.0,4.0
215004-2 Design Thinking ,2015-02-12,1.0,3.5
215005 BE PRESENT,2015-05-14,2.0,6.0
215006 BGC Comm Meeting,2015-02-23,1.0,4.5
215006-2 BGC Comm Meeting_AV,2015-02-23,1.0,4.5
215007 Life is Loving,2015-02-14,1.0,5.5
215007-2 Life is Loving ,2015-02-14,1.0,5.5
215008 YBCA #BLM,2015-02-16,2.0,6.0
215009 CIIS ,2015-02-22,1.0,8.0
215010 Ever Forward Club,2015-03-04,1.0,6.0
215010-2 Ever Forward Club,2015-03-04,1.0,6.0
215011 Kaiser HNS Grad,2015-06-13,1.0,9.5
215012 Barbara Lee,2015-03-12,1.0,4.0
215013 GlobalGirl Media,2015-03-21,1.0,6.0
215013-2 GlobalGirl Media ,2015-03-21,1.0,5.5
215014 OneLife IHO Collab ,2015-03-21,1.0,5.0
215014-2 OneLife IHO Collab,2015-03-21,1.0,5.0
215015 Oakland Institute,2015-04-24,1.0,5.5
215015-2 Oakland Institute ,2015-04-24,2.0,8.0
215016 Youth Business USA,2015-03-01,1.0,
2151 B Labs,2014-10-03,1.0,4.0
2152 Bootcamp_BusinessInn_pt2,2014-09-24,1.0,3.0
2153 Bootcamp_BusinessInn_pt3,2014-11-19,1.0,3.0
2154 Honeyman,2014-11-10,1.0,4.0
2155 Bay Localize,2014-11-14,1.0,6.0
2156 HERA_ScotchTasting,2014-10-16,1.0,2.5
2157 Thomas Huebl_BAI,2014-12-11,1.0,5.0
2158 Rosenberg Foundation Event,2014-12-02,1.0,4.5
2159 LIfe is Living,2014-10-10,1.0,5.5
2160 BK Publishers_LockedDown,2014-11-04,1.0,4.0
2160 OPEN,2014-10-08,1.0,4.0
2161 Amigos_HostTraining,2014-11-19,1.0,6.0
2162 Housing Consortium,2014-10-30,1.0,5.0
2163 Kaiser Emergency Dept,2014-12-06,1.0,7.5
2163 Kaiser Emergency Dept_Rev1,2014-12-06,2.0,7.5
2164 Tides ,2014-12-01,1.0,5.0
2165 Marie Bernardo,2014-12-13,1.0,9.0
2165 Marie Bernardo_Rev1,2014-12-13,2.0,9.0
2166 SustainAbility RoundTable,2014-12-04,1.0,3.5
2167 Sandra Lawson,2015-01-17,2.0,10.0
2168 PPGBA_OnBroadway,2014-11-20,1.0,5.0
2169 Red Door Group,2014-12-12,4.0,9.0
2170 Alameda Health Services,2014-12-09,3.0,7.5
2171 Courtney Ruby for Mayor,2014-10-29,2.0,5.5
2172 Lajones & Associates,2014-12-16,2.0,5.0
2172_Rev1 Lajones & Associates,2014-12-16,1.0,5.0
2173 EvolutionLeadership_Fedor,2014-11-08,1.0,
2174 CARE Strategies,2014-11-19,1.0,3.5
2175 ACOE_meeting,2014-11-22,1.0,
2175 ACOE_meeting_rev1,2014-11-22,1.0,
2176 ACOE_Synergy Day,2014-12-13,1.0,
2177 ACOE_Apprentice Training,2014-12-14,1.0,
2178 ACOE_Synergy Day (2),2015-03-21,1.0,
2179 ACOE_ILSP Retreat,2015-04-18,1.0,
2180 Sandra Lawson_PTmember,2015-01-17,2.0,10.0
2181 BALANCE,2014-11-12,1.0,5.0
2182 Diversity Challenge,2014-12-10,2.0,5.0
2182 Diversity Challenge_Rev1,2014-12-10,2.0,6.0
2183 LNA_Fertile,2014-11-15,1.0,6.5
2184 Konda Mason_warmcoat,2014-12-08,2.0,5.0
2185 YEP,2014-11-08,1.0,4.0
2186 Kiwan,2014-12-09,1.0,2.0
2187 AlterConf,2015-01-31,1.0,7.0
2188 BGC_volunteertraining,2014-12-06,2.0,5.0
2189 BGC_volunteertraining_2,2014-12-10,1.0,4.0
2190 Kerusso Music Group,2014-12-31,1.0,6.5
2191 SFJazz_OPC,2015-01-13,1.0,2.5
2191_Rev1 SFJazz_OPC,2015-01-27,1.0,2.5
2192 Josh Healey,2014-12-18,1.0,4.5
2193 Rosenberg Foundation,2014-01-14,1.0,4.5
2193_Rev1 Rosenberg Foundation,2014-01-14,1.0,4.5
2194 AAMA_Report Out,2015-01-15,5.0,4.0
2195 SYNCIS,2014-12-18,1.0,2.5
2196 Tuux.it,2015-02-06,1.0,2.5
2196-2 Tuux.it,2015-02-06,1.0,3.5
2197 Beyond Sep_SeriesII_March,2015-03-04,1.0,
2197 Beyond Sep_SeriesII_March,2015-03-11,1.0,
2197 Beyond Sep_SeriesII_March,2015-03-18,1.0,
2197 Beyond Sep_SeriesII_March,2015-03-25,1.0,
2198 Beyond Sep_SeriesII_April,2015-04-01,1.0,
2198 Beyond Sep_SeriesII_April,2015-04-08,1.0,
2198 Beyond Sep_SeriesII_April,2015-04-15,1.0,
2198 Beyond Sep_SeriesII_April,2015-04-22,1.0,
2199 Redwood Day School,2015-04-25,4.0,9.5
2199-2 Redwood Day School,2015-04-25,4.0,12.5
2200 Rebirth & Renewal,2015-01-10,1.0,
2201 SF Noir,2015-02-25,1.0,6.0
315001 Presidio Kunstler ,2015-04-09,3.0,5.25
315001-2 Presidio Kunstler,2015-04-09,2.0,6.25
315002 Develop Yourself,3/28-3/29,2.0,20.5
315002-2 Develop Yourself ,3/28-3/29,2.0,20.0
315003 EB Church of R Science,2015-03-27,1.0,6.5
315004 Oak Int Film Fest,2015-03-25,1.0,4.5
315005 LNA_MidLifeCelebration,2015-04-04,1.0,6.5
315005-2 LNA_MidLifeCelebration,2015-04-04,1.0,7.5
315006-2 Empathy in Business,2015-04-16,1.0,
315007 Friends of the Earth,2015-04-14,1.0,3.5
315007-2 Friends of the Earth ,2015-04-14,1.0,4.0
315008 Kapor Center,2015-05-02,1.0,12.0
315008-2 Kapor Center,2015-05-02,3.0,10.0
315009 Hack The Hood,2015-04-23,1.0,4.5
315010 Defy Ventures_Admisssion,2015-03-25,1.0,4.5
315011 Cleantech Open,2015-04-21,1.0,5.0
315011-2 Cleantech Open,2015-04-21,1.0,5.0
315011-2 Cleantech Open paid,2015-04-21,1.0,5.0
315012 LaunchPad Africa,2015-05-16,1.0,7.5
315012-2 LaunchPad Africa,2015-05-16,1.0,8.5
315013 TeachforAmerica,2015-04-14,1.0,
415001 Agents of Change,2015-04-08,1.0,4.0
415002-2 Tech808,2015-08-15,2.0,12.0
415004-2 Amigos Interview Day,2015-04-11,1.0,
415005-2 Amigos Orientation ,2015-04-25,1.0,
415006 CSS Member,2015-06-04,1.0,4.0
415007 Tradeswomen,2015-09-25,2.0,7.0
415008 Rockwood Institute,2015-07-13,2.0,6.5
415009 Black Folks House,2015-04-18,1.0,
415010 LNArt Old Navy,2015-02-24,1.0,5.0
415011 Ten Directions,2015-04-24,2.0,9.0
415012 Uptima 2.Oakland Demo,2015-05-20,1.0,4.5
