invoice,invoice_date,DATE,item_type,item,AMOUNT,HOURS_UNITS,SUBTOTAL,DISCOUNT,TOTAL,membership,discount_type,day_type,day_type2,day_dur
715004-2 PAID_BART ,2015-08-03,2015-07-27,ITEM_TOT,,,,485.0,0.26907216494845365,354.5,NON-MEMBER,FOUNDER,WEEKDAY,weekday,
715014 Uptima Coop Challenge,2015-07-31,2015-10-09,ROOM,ATRIUM,140.0,4.5,630.0,0.55,283.5,FULL-TIME,N/S,WEEKEND,weekday,
715014 Uptima Coop Challenge,2015-07-31,2015-10-09,SERVICE,SETUP_RESET,75.0,2.5,187.5,0.0,187.5,FULL-TIME,NONE,WEEKEND,weekday,
715014 Uptima Coop Challenge,2015-07-31,2015-10-09,SERVICE,STAFFING,40.0,7.0,280.0,0.0,280.0,FULL-TIME,NONE,WEEKEND,weekday,
715014 Uptima Coop Challenge,2015-07-31,2015-10-09,SERVICE,JANITORIAL,150.0,1.0,150.0,0.0,150.0,FULL-TIME,NONE,WEEKEND,weekday,
715014 Uptima Coop Challenge,2015-07-31,2015-10-09,SERVICE,A/V,40.0,2.0,80.0,0.0,80.0,FULL-TIME,NONE,WEEKEND,weekday,
715014 Uptima Coop Challenge,2015-07-31,2015-10-09,ITEM_TOT,,,,1327.5,0.26101694915254237,981.0,FULL-TIME,N/S,WEEKEND,weekday,
715013 Dinner Lab,2015-07-31,2015-08-08,ROOM,BROADWAY,315.0,2.5,787.5,0.0,787.5,NON-MEMBER,NONE,WEEKEND,weekend,
715013 Dinner Lab,2015-07-31,2015-08-08,SERVICE,SETUP_RESET,75.0,4.5,337.5,0.0,337.5,NON-MEMBER,NONE,WEEKEND,weekend,
715013 Dinner Lab,2015-07-31,2015-08-08,SERVICE,STAFFING,30.0,7.0,210.0,0.0,210.0,NON-MEMBER,NONE,WEEKEND,weekend,
715013 Dinner Lab,2015-07-31,2015-08-08,SERVICE,JANITORIAL,200.0,1.0,200.0,0.0,200.0,NON-MEMBER,NONE,WEEKEND,weekend,
715013 Dinner Lab,2015-07-31,2015-08-08,ITEM_TOT,,,,1535.0,0.0,1535.0,NON-MEMBER,NONE,WEEKEND,weekend,
715012 Urban Beauty Inc,2015-07-29,2015-11-15,ROOM,BROADWAY,315.0,4.5,1417.5,0.35,921.375,NON-MEMBER,MULTIROOM,,weekend,FULL
715012 Urban Beauty Inc,2015-07-29,2015-11-15,ROOM,ATRIUM,225.0,4.5,1012.5,0.5,506.25,NON-MEMBER,MULTIROOM,,weekend,FULL
715012 Urban Beauty Inc,2015-07-29,2015-11-15,SERVICE,SETUP_RESET,75.0,4.0,300.0,0.0,300.0,NON-MEMBER,MULTIROOM,,weekend,FULL
715012 Urban Beauty Inc,2015-07-29,2015-11-15,SERVICE,STAFFING,30.0,8.5,255.0,0.0,255.0,NON-MEMBER,MULTIROOM,,weekend,FULL
715012 Urban Beauty Inc,2015-07-29,2015-11-15,SERVICE,JANITORIAL,300.0,1.0,300.0,0.0,300.0,NON-MEMBER,MULTIROOM,,weekend,FULL
715012 Urban Beauty Inc,2015-07-29,2015-11-15,SERVICE,A/V,40.0,7.5,300.0,0.0,300.0,NON-MEMBER,MULTIROOM,,weekend,FULL
715012 Urban Beauty Inc,2015-07-29,2015-11-15,SERVICE,COMPOSTABLES,,1.0,233.88,0.0,233.88,NON-MEMBER,MULTIROOM,,weekend,FULL
715012 Urban Beauty Inc,2015-07-29,2015-11-15,ITEM_TOT,,,,3818.88,0.26247878959276016,2816.505,NON-MEMBER,MULTIROOM,,weekend,FULL
715003-2 National Poetry Slam,2015-07-28,2015-08-14,ROOM,BROADWAY,255.0,4.0,1020.0,1.0,0.0,PART-TIME,PARTNER,WEEKEND,weekday,
715003-2 National Poetry Slam,2015-07-28,2015-08-14,SERVICE,SETUP_RESET,75.0,2.5,187.5,1.0,0.0,PART-TIME,PARTNER,WEEKEND,weekday,
715003-2 National Poetry Slam,2015-07-28,2015-08-14,SERVICE,STAFFING,50.0,6.5,325.0,0.0,325.0,PART-TIME,PARTNER,WEEKEND,weekday,
715003-2 National Poetry Slam,2015-07-28,2015-08-14,SERVICE,JANITORIAL,250.0,1.0,250.0,0.0,250.0,PART-TIME,PARTNER,WEEKEND,weekday,
715003-2 National Poetry Slam,2015-07-28,2015-08-14,SERVICE,A/V,40.0,6.0,240.0,0.0,240.0,PART-TIME,PARTNER,WEEKEND,weekday,
715003-2 National Poetry Slam,2015-07-28,2015-08-14,ITEM_TOT,,,,2022.5,0.5970333745364648,815.0,PART-TIME,PARTNER,WEEKEND,weekday,
715010 TriNet,2015-07-24,2015-09-16,ROOM,BROADWAY,295.0,3.0,885.0,0.0,885.0,NON-MEMBER,NONE,WEEKDAY,weekday,
715010 TriNet,2015-07-24,2015-09-16,SERVICE,SETUP_RESET,50.0,2.0,100.0,0.0,100.0,NON-MEMBER,NONE,WEEKDAY,weekday,
715010 TriNet,2015-07-24,2015-09-16,SERVICE,STAFFING,35.0,5.0,175.0,0.0,175.0,NON-MEMBER,NONE,WEEKDAY,weekday,
715010 TriNet,2015-07-24,2015-09-16,SERVICE,JANITORIAL,250.0,1.0,250.0,0.0,250.0,NON-MEMBER,NONE,WEEKDAY,weekday,
715010 TriNet,2015-07-24,2015-09-16,SERVICE,A/V,40.0,5.0,200.0,0.0,200.0,NON-MEMBER,NONE,WEEKDAY,weekday,
715010 TriNet,2015-07-24,2015-09-16,ITEM_TOT,,,,1610.0,0.0,1610.0,NON-MEMBER,NONE,WEEKDAY,weekday,
715004-2 BART,2015-07-24,2015-07-27,ROOM,OMI,115.0,2.0,230.0,0.35,149.5,NON-MEMBER,FOUNDER,WEEKDAY,weekday,
715004-2 BART,2015-07-24,2015-07-27,SERVICE,SETUP_RESET,50.0,1.0,50.0,1.0,0.0,NON-MEMBER,FOUNDER,WEEKDAY,weekday,
715004-2 BART,2015-07-24,2015-07-27,SERVICE,STAFFING,35.0,3.0,105.0,0.0,105.0,NON-MEMBER,FOUNDER,WEEKDAY,weekday,
715004-2 BART,2015-07-24,2015-07-27,SERVICE,JANITORIAL,100.0,1.0,100.0,0.0,100.0,NON-MEMBER,FOUNDER,WEEKDAY,weekday,
715004-2 BART,2015-07-24,2015-07-27,ITEM_TOT,,,,485.0,0.26907216494845365,354.5,NON-MEMBER,FOUNDER,WEEKDAY,weekday,
