sheet,DATE,DESCRIPTION,AMOUNT,HOURS/UNITS,SUBTOTAL,DISCOUNT,TOTAL,rate
2101 MarcusFosterEduFund,2014-08-09,Atrium,225.0,3.0,675.0,0.1,607.5,Non-Member Weekend Rate
2101 MarcusFosterEduFund,2014-08-09,OMI Gallery,145.0,3.0,435.0,0.1,391.5,Non-Member Weekend Rate
2101 MarcusFosterEduFund,2014-08-09,Meridian Room,125.0,3.0,375.0,0.1,337.5,Non-Member Weekend Rate
2101 MarcusFosterEduFund,2014-08-09,Set Up & Break Down,50.0,3.0,150.0,0.1,135.0,Non-Member Weekend Rate
2101 MarcusFosterEduFund,2014-08-09,Large Party Cleaning Fee,500.0,1.0,500.0,0.1,450.0,Non-Member Weekend Rate
2101 MarcusFosterEduFund,2014-08-09,A/V Technician,40.0,2.0,80.0,0.1,72.0,Non-Member Weekend Rate
2101 MarcusFosterEduFund,2014-08-09,Total,,,3475.0,0.1,3127.5,Non-Member Weekend Rate
2104 Black Elected,2014-07-23,On Broadway,225.0,2.5,562.5,,562.5,Part Time Weekday Rate
2104 Black Elected,2014-07-23,Standard Janitorial Fee,100.0,1.0,100.0,,100.0,Part Time Weekday Rate
2104 Black Elected,2014-07-23,Total,,,,,662.5,Part Time Weekday Rate
115008 Beyond Separation ,2015-01-27,OMI Gallery,60.0,2.0,120.0,,120.0,Full Time Member Weekday Rate - Partnership discount
115008 Beyond Separation ,2015-01-27,Set Up & Break Down,30.0,1.0,30.0,,30.0,Full Time Member Weekday Rate - Partnership discount
115008 Beyond Separation ,2015-01-27,Total,,,150.0,,150.0,Full Time Member Weekday Rate - Partnership discount
2111 HACK THE HOOD GRAD,2014-08-14,On Broadway,180.0,2.0,360.0,0.58,151.2,Full Time Member Weekday Rate
2111 HACK THE HOOD GRAD,2014-08-14,Early Set Up Fee,,1.0,,,0.0,Full Time Member Weekday Rate
2111 HACK THE HOOD GRAD,2014-08-14,Set Up & Break Down,50.0,2.0,100.0,,100.0,Full Time Member Weekday Rate
2111 HACK THE HOOD GRAD,2014-08-14,Large Party Janitorial Fee,,1.0,,,0.0,Full Time Member Weekday Rate
2111 HACK THE HOOD GRAD,2014-08-14,Standard Janitorial Fee,250.0,1.0,250.0,,250.0,Full Time Member Weekday Rate
